Article Name,Article number (MGB),Var,Subsys,Locations,MMS Stock,MMS Stock (1 piece),WMS Stock,WMS Stock (1 piece),Pick qty,Pick qty (1 piece),Difference,Difference (1 piece)
MC RIZ LG GRAIN ETUVE 5KG,891870,1,303587,"MEAT_SPECIAL_HANDLING-9-2-C1-3,MEAT_SPECIAL_HANDLING-6-33-C1-1,MEAT_SPECIAL_HANDLING-9-14-C1-1,MEAT_SPECIAL_HANDLING-9-6-A4-3",45,45,100,100,0,0,-55,-55
"ST NECT LAIT AOP 1,5KGENV CLOU",829245,1,236466,"MEAT_SPECIAL_HANDLING-22-21-A1-2,IN-1",102.26,102.26,157.09,157.09,0,0,-54.83,-54.83
PIMENT XTRA PAYBASQ SUD 1.8KG,233647,1,36649,"MEAT_SPECIAL_HANDLING-8-30-B1-2,MEAT_SPECIAL_HANDLING-8-32-B1-2,MEAT_SPECIAL_HANDLING-7-31-A1-5,MEAT_SPECIAL_HANDLING-7-30-B1-1",278,278,332,332,0,0,-54,-54
CH FEUILLATE TRADITION BRT 75C,875882,1,285531,"MEAT_SPECIAL_HANDLING-8-35-C1-1,MEAT_SPECIAL_HANDLING-8-35-A3-5",0,0,9,54,0,0,-9,-54
*TAHINA CREME SESAME POT 454G,162008,1,163202,"MEAT_SPECIAL_HANDLING-8-4-B1-1,MEAT_SPECIAL_HANDLING-8-2-A3-4",20,20,73,73,0,0,-53,-53
FRAIS MINIMUM DE COMMANDE,835296,1,null,null,-50,-50,0,0,0,0,-50,-50
MC CERNEAUX NOIX INV ARL 1KG,889202,1,300454,"MEAT_SPECIAL_HANDLING-7-31-A2-4,MEAT_SPECIAL_HANDLING-8-30-B1-3",74,74,124,124,0,0,-50,-50
*MC FARINE SARASIN 1KG,835154,1,242175,MEAT_SPECIAL_HANDLING-10-21-A1-1,2,20,7,70,0,0,-5,-50
COCACOLA CHERRY SLIM 33CL,396660,1,202955,"MEAT_SPECIAL_HANDLING-1-18-B1-3,MEAT_SPECIAL_HANDLING-2-28-A1-3,MEAT_SPECIAL_HANDLING-1-17-B1-2,MEAT_SPECIAL_HANDLING-1-20-A1-3,MEAT_SPECIAL_HANDLING-1-31-B1-2,MEAT_SPECIAL_HANDLING-1-20-B1-1,MEAT_SPECIAL_HANDLING-1-13-B1-2",658,15792,660,15840,0,0,-2,-48
OASIS POM/CASS/FRAM SLIM 33CL,861096,1,268769,"MEAT_SPECIAL_HANDLING-2-17-A1-3,IN-1,MEAT_SPECIAL_HANDLING-3-9-C1-3",259,6216,261,6264,0,0,-2,-48
MINUTE MAID ORANGE SLIM 33CL,872493,1,281761,"MEAT_SPECIAL_HANDLING-3-3-A1-1,MEAT_SPECIAL_HANDLING-4-13-B1-3",65,1560,67,1608,0,0,-2,-48
MONSTER ENERGY BOITE 50CL,399068,1,204694,"MEAT_SPECIAL_HANDLING-2-1-B1-1,MEAT_SPECIAL_HANDLING-3-4-A1-3",31,744,33,792,0,0,-2,-48
MPRO 500 PAILLE KRAFT D6 20CM,888219,1,299096,"MEAT_SPECIAL_HANDLING-7-23-A1-1,MEAT_SPECIAL_HANDLING-6-11-C1-3,MEAT_SPECIAL_HANDLING-6-26-B1-3,MEAT_SPECIAL_HANDLING-6-9-A2-2",144,144,190,190,0,0,-46,-46
ENTRECOTE 4KG+ UE,688758,1,29149,"MEAT_SPECIAL_HANDLING-26-9-A4-6,MEAT_SPECIAL_HANDLING-25-5-A1-6",49.28,49.28,90.69,90.69,0,0,-41.41,-41.41
POMMES SAUTEES 2.5KG MC,605985,1,73511,DEEP_FROZEN-42-8-A2-7,-31,-31,9,9,0,0,-40,-40
HUILE CUISINOR BIDON 20L,335272,1,66684,"MEAT_SPECIAL_HANDLING-6-26-C1-1,MEAT_SPECIAL_HANDLING-6-19-C1-1,MEAT_SPECIAL_HANDLING-6-20-B1-1",72,72,110,110,0,0,-38,-38
MERGUEZ BF/MTN HAL2.3KGENV SAT,820089,1,226901,"MEAT_SPECIAL_HANDLING-21-16-A1-2,UNLOADING-1",116.3,116.3,153.66,153.66,0,0,-37.36,-37.36
"LIPTON PECHE 1,25L PET",887389,1,298429,"INSPECTION-1,IN-1,MEAT_SPECIAL_HANDLING-3-12-C1-3,MEAT_SPECIAL_HANDLING-3-27-A1-1",160,960,166,996,0,0,-6,-36
"OIGNONS EN DES 2,5KG METROCHEF",854332,1,261599,DEEP_FROZEN-40-1-A1-4,-18,-18,18,18,0,0,-36,-36
MX A ROMET 75CL BLC MET TRAD,857110,1,269269,"MEAT_SPECIAL_HANDLING-8-33-A1-2,MEAT_SPECIAL_HANDLING-9-27-B1-1",30,180,36,216,0,0,-6,-36
ST CHINIAN RSE MIL EXCEL.STL75,807203,1,212966,MEAT_SPECIAL_HANDLING-9-27-A1-3,0,0,6,36,0,0,-6,-36
CHAMP MUMM 75CL ROSE,866570,1,275657,MEAT_SPECIAL_HANDLING-8-25-A1-2,0,0,6,36,0,0,-6,-36
CHINON RGE GRANG 75C AOC,807648,1,214054,"MEAT_SPECIAL_HANDLING-8-27-B1-1,MEAT_SPECIAL_HANDLING-8-29-A3-1",12,72,18,108,0,0,-6,-36
MPRO NETT MU JAVEL 750ML,812927,1,217556,"MEAT_SPECIAL_HANDLING-2-2-A2-5,MEAT_SPECIAL_HANDLING-2-6-A1-1",95,95,131,131,0,0,-36,-36
"BREWDOG PUNK 0,49D 33CL VP",857830,1,264969,MEAT_SPECIAL_HANDLING-4-11-A1-3,3,36,6,72,0,0,-3,-36
CREAM CHEESE 1.5KG MC,876926,1,286663,"MEAT_SPECIAL_HANDLING-20-10-B1-2,MEAT_SPECIAL_HANDLING-22-19-B1-1,MEAT_SPECIAL_HANDLING-20-9-A1-2",273,273,308,308,0,0,-35,-35
SAUCE CHOCOLAT  1KG SWEETIES,682348,1,100188,"INSPECTION-3,MEAT_SPECIAL_HANDLING-8-4-A2-4",-6,-6,29,29,0,0,-35,-35
SAUTE CANARD S/OS A/P SV 2.5KG,148957,1,149733,"MEAT_SPECIAL_HANDLING-26-1-A3-1,IN-1",3.7,3.7,35.36,35.36,0,0,-31.66,-31.66
"MC SPECULOOS CONCASSE 1,1KG",812932,1,217728,"MEAT_SPECIAL_HANDLING-7-2-A1-2,MEAT_SPECIAL_HANDLING-8-2-B1-3",130,130,161,161,0,0,-31,-31
NEM POULET 33G X50 1.65KG,888663,1,299641,DEEP_FROZEN-40-10-A1-1,44,44,75,75,0,0,-31,-31
CHEDDAR RGE MID 3M BLC3.3KGENV,144345,1,144821,MEAT_SPECIAL_HANDLING-23-6-A1-2,33.33,33.33,63.35,63.35,0,0,-30.020000000000003,-30.020000000000003
TROPICO ORIGINAL 6X20CL MINI,893458,1,305347,"IN-1,MEAT_SPECIAL_HANDLING-2-23-A1-3",75,375,81,405,0,0,-6,-30
ARO ABC ORANGE BRICK 1L,839581,1,null,null,-5,-30,0,0,0,0,-5,-30
MIEL FLEUR SQUEEZ 500G LDM,840427,1,247526,MEAT_SPECIAL_HANDLING-7-5-A1-2,324,324,351,351,0,0,-27,-27
EMMENTAL TR 15*5 1KG ARO,896766,1,309147,"MEAT_SPECIAL_HANDLING-22-3-A1-1,UNLOADING-1",88,88,114,114,0,0,-26,-26
CHATEAU CHALON JAUNE MDV 62CL,833784,1,240210,"MEAT_SPECIAL_HANDLING-8-35-A3-1,MEAT_SPECIAL_HANDLING-9-29-A3-1",0,0,4,24,0,0,-4,-24
TROPICO L'ORIG BTE 33 CL SLIM,847843,1,254862,"MEAT_SPECIAL_HANDLING-2-29-A1-2,IN-1",138,3312,139,3336,0,0,-1,-24
"TORTILLAS 30CMX18 1,6KG MC",829909,1,236559,"IN-1,MEAT_SPECIAL_HANDLING-22-11-A1-2",143,143,167,167,0,0,-24,-24
POUILLY FUME MIL BLANCH 75CL,810235,1,215658,MEAT_SPECIAL_HANDLING-9-29-A1-3,0,0,24,24,0,0,-24,-24
HAWAI TROPICAL BOITE 33CL,397230,1,202254,IN-1,36,864,37,888,0,0,-1,-24
VOLVIC JUICY FRAISE 50CL,397663,1,264977,"IN-1,MEAT_SPECIAL_HANDLING-3-15-A1-3",111,1332,113,1356,0,0,-2,-24
COTEAUX VAROIS ROSE 75CL,809144,1,214501,"MEAT_SPECIAL_HANDLING-8-1-B1-1,MEAT_SPECIAL_HANDLING-8-29-A4-2,MEAT_SPECIAL_HANDLING-9-23-A1-5,MEAT_SPECIAL_HANDLING-8-5-C1-2",39,234,43,258,0,0,-4,-24
JEX PRO DECAPANT FOUR 1L,876110,1,285763,MEAT_SPECIAL_HANDLING-6-1-A1-3,21,21,45,45,0,0,-24,-24
CREME ANGLAISE 1L MC,636829,1,71625,MEAT_SPECIAL_HANDLING-22-6-A1-1,159,159,183,183,0,0,-24,-24
CDP CH MAUVANN RSE MIL 75CL AO,815592,1,221718,MEAT_SPECIAL_HANDLING-8-35-A3-2,0,0,4,24,0,0,-4,-24
