Article Name;Article number (MGB);Var;Locations;MMS Stock;MMS Stock (1 piece);WMS Stock;WMS Stock (1 piece);Pick qty;Pick qty (1 piece);Difference;Difference (1 piece)
COCACOLA BOITE SLIM 33CL;396651;1;MEAT_SPECIAL_HANDLING-3-7-C1-2,MEAT_SPECIAL_HANDLING-1-20-B1-2,MEAT_SPECIAL_HANDLING-1-33-B1-1,MEAT_SPECIAL_HANDLING-4-9-B1-2,MEAT_SPECIAL_HANDLING-3-17-B1-3,MEAT_SPECIAL_HANDLING-1-30-C1-1,MEAT_SPECIAL_HANDLING-4-13-C1-2,MEAT_SPECIAL_HANDLING-1-30-B1-2,MEAT_SPECIAL_HANDLING-2-33-A1-3,MEAT_SPECIAL_HANDLING-2-9-A1-3,MEAT_SPECIAL_HANDLING-2-36-C1-2,MEAT_SPECIAL_HANDLING-3-5-C1-2,MEAT_SPECIAL_HANDLING-2-11-B1-1,MEAT_SPECIAL_HANDLING-1-30-B1-1,MEAT_SPECIAL_HANDLING-1-10-B1-2,MEAT_SPECIAL_HANDLING-1-11-C1-2,MEAT_SPECIAL_HANDLING-1-10-B1-1,MEAT_SPECIAL_HANDLING-2-22-A1-3,MEAT_SPECIAL_HANDLING-1-4-B1-2;2282;54768;2283;54792;0;0;-1;-24
WHISKY BALLANTINE 40D 70CL;387283;1;MEAT_SPECIAL_HANDLING-8-7-A3-4,UNLOADING-1;51;51;75;75;0;0;-24;-24
VITTEL ARO CIT/CIT VT 50CL;841231;1;MEAT_SPECIAL_HANDLING-1-33-C1-2,MEAT_SPECIAL_HANDLING-3-27-C1-2,MEAT_SPECIAL_HANDLING-3-19-B1-1,MEAT_SPECIAL_HANDLING-3-17-A1-2,MEAT_SPECIAL_HANDLING-3-19-A1-1;140;3360;141;3384;0;0;-1;-24
EMIN GAZ VALS.33CL  VP;396440;1;MEAT_SPECIAL_HANDLING-2-32-A1-1,MEAT_SPECIAL_HANDLING-5-31-A2-3;16;384;17;408;0;0;-1;-24
FANTA MANG/FR DRAG BTE 33CL;839048;1;MEAT_SPECIAL_HANDLING-5-25-C1-2,MEAT_SPECIAL_HANDLING-2-32-A1-2;141;3384;142;3408;0;0;-1;-24
LIPTON PASTEQ MENT SLEEK 33CL;859425;1;IN-1,MEAT_SPECIAL_HANDLING-5-27-B1-2,MEAT_SPECIAL_HANDLING-1-12-C1-3,MEAT_SPECIAL_HANDLING-1-18-C1-2,MEAT_SPECIAL_HANDLING-1-20-A1-2;111;2664;112;2688;0;0;-1;-24
LIPTON PECHE BTE 33CL SLIM;839230;1;MEAT_SPECIAL_HANDLING-12-23-C1-1,MEAT_SPECIAL_HANDLING-2-28-C1-1,MEAT_SPECIAL_HANDLING-2-30-A1-1,MEAT_SPECIAL_HANDLING-3-7-C1-1,MEAT_SPECIAL_HANDLING-4-15-C1-2,MEAT_SPECIAL_HANDLING-3-35-B1-3,MEAT_SPECIAL_HANDLING-5-21-C1-1;511;12264;512;12288;0;0;-1;-24
OGEUX MINERAL GAZ 1.25L PET;396840;1;MEAT_SPECIAL_HANDLING-1-7-B1-1,MEAT_SPECIAL_HANDLING-4-4-A2-3;108;648;112;672;0;0;-4;-24
AGENT DEMOUL OURAGAN 500 ANCEL;840343;1;INSPECTION-3;0;0;24;24;0;0;-24;-24
SAN PELL LIMONATA BTE 33CL;396414;1;MEAT_SPECIAL_HANDLING-2-7-A1-3,MEAT_SPECIAL_HANDLING-5-31-C1-1,MEAT_SPECIAL_HANDLING-1-20-C1-1,MEAT_SPECIAL_HANDLING-1-12-B1-1;73;1752;74;1776;0;0;-1;-24
SCHWEPPES AGRUM SLIM 33CL;396252;1;MEAT_SPECIAL_HANDLING-3-5-A1-1,MEAT_SPECIAL_HANDLING-4-15-C1-4;172;4128;173;4152;0;0;-1;-24
HAWAI TROPICAL BOITE 33CL;397230;1;MEAT_SPECIAL_HANDLING-12-25-B1-3,MEAT_SPECIAL_HANDLING-2-22-A1-1;50;1200;51;1224;0;0;-1;-24
FANTA CITRON BTE SLIM 33CL;396680;1;MEAT_SPECIAL_HANDLING-3-1-A1-2,MEAT_SPECIAL_HANDLING-3-1-B1-1,MEAT_SPECIAL_HANDLING-1-22-C1-2;153;3672;154;3696;0;0;-1;-24
FUZETEA PECHE BOITE 33CL SLIM;813611;1;MEAT_SPECIAL_HANDLING-1-15-B1-2,MEAT_SPECIAL_HANDLING-3-7-A1-2,MEAT_SPECIAL_HANDLING-1-22-C1-4,MEAT_SPECIAL_HANDLING-1-29-C1-2,MEAT_SPECIAL_HANDLING-2-3-A1-1,MEAT_SPECIAL_HANDLING-1-15-C1-1,MEAT_SPECIAL_HANDLING-1-21-A1-2,MEAT_SPECIAL_HANDLING-1-19-B1-2;816;19584;817;19608;0;0;-1;-24
SUPER BOCK 5.2D 33CL;863882;1;MEAT_SPECIAL_HANDLING-3-9-A1-3;10;240;11;264;0;0;-1;-24
HEINZ DOS MAYONNAISE 10MLX200;163051;1;MEAT_SPECIAL_HANDLING-11-25-B1-2,MEAT_SPECIAL_HANDLING-11-6-A4-1,MEAT_SPECIAL_HANDLING-11-3-B1-1,MEAT_SPECIAL_HANDLING-11-3-A3-2;15;15;39;39;0;0;-24;-24
CAPRE SURFINE 105ML VITALYS;839590;1;MEAT_SPECIAL_HANDLING-10-1-A1-5,MEAT_SPECIAL_HANDLING-6-13-A3-4;8;48;12;72;0;0;-4;-24
SIROP RIOBA PECHE 1L VP;893107;1;INSPECTION-3,MEAT_SPECIAL_HANDLING-4-3-B1-3,MEAT_SPECIAL_HANDLING-2-31-A1-3,MEAT_SPECIAL_HANDLING-3-6-B1-2;571;571;594;594;0;0;-23;-23
SAUMON FUME NORV 0.9/1.2KG MC;829653;1;MEAT_SPECIAL_HANDLING-24-16-A1-1,MEAT_SPECIAL_HANDLING-24-16-B1-2,MEAT_SPECIAL_HANDLING-21-3-B1-3;187.09;187.09;209.57;209.57;0;0;-22.47999999999999;-22.47999999999999
BAT PREMIO CHOC LAI/AMAND;873441;1;DEEP_FROZEN-43-4-A1-6,DEEP_FROZEN-41-12-A1-1;20;400;21;420;0;0;-1;-20
SAN PELL 50CL  VC;397424;1;MEAT_SPECIAL_HANDLING-1-19-A1-2;10;200;11;220;0;0;-1;-20
CIBOULETTE BOTTE  MC 20gr;31277;1;MEAT_SPECIAL_HANDLING-33-8-A3-1;80;400;84;420;0;0;-4;-20
CHATEAU CHALON JAUNE MDV 62CL;833784;1;MEAT_SPECIAL_HANDLING-9-27-A1-2,MEAT_SPECIAL_HANDLING-9-17-B1-1,MEAT_SPECIAL_HANDLING-9-29-A3-1;10;10;10;30;0;0;0;-20
POUILLY FUME MIL BLANCH 75CL;810235;1;MEAT_SPECIAL_HANDLING-9-29-A1-3,MEAT_SPECIAL_HANDLING-9-27-A3-3,MEAT_SPECIAL_HANDLING-9-27-A3-2;20;120;40;140;0;0;-20;-20
MAGRET CND CART*8  VIVIES UE;636895;1;UNLOADING-1;16.93;16.93;35.42;35.42;0;0;-18.490000000000002;-18.490000000000002
MC SAUCE PIZZA   4/4;835011;1;MEAT_SPECIAL_HANDLING-9-10-B1-1,MEAT_SPECIAL_HANDLING-11-18-A2-1;-1;-6;2;12;0;0;-3;-18
BADOIT VERT 1L PET;397304;1;MEAT_SPECIAL_HANDLING-3-14-A1-3;8;48;11;66;0;0;-3;-18
ORANGINA JAUN 1.5L;397662;1;MEAT_SPECIAL_HANDLING-3-13-A1-1,MEAT_SPECIAL_HANDLING-1-35-C1-1,MEAT_SPECIAL_HANDLING-3-11-C1-2,MEAT_SPECIAL_HANDLING-1-19-C1-1;244;1464;247;1482;0;0;-3;-18
SUCRE PDR ETUI BV 1KG ROCHAMB;839757;1;MEAT_SPECIAL_HANDLING-10-29-C1-2;33;198;36;216;0;0;-3;-18
VDF BLC PREJUGES 75CL;888227;1;MEAT_SPECIAL_HANDLING-9-13-A1-1,MEAT_SPECIAL_HANDLING-8-22-B1-3;24;144;27;162;0;0;-3;-18
ABATILLE GAZ 50CL  PET;396843;1;MEAT_SPECIAL_HANDLING-3-19-A1-2,MEAT_SPECIAL_HANDLING-4-4-C1-1;349;2094;352;2112;0;0;-3;-18
SC CARAMEL LAIT 1KG SWEETIES;682351;1;MEAT_SPECIAL_HANDLING-10-32-A3-2;55;55;73;73;0;0;-18;-18
MC 120 CORNET GLACE 63X170MM;893517;1;MEAT_SPECIAL_HANDLING-7-15-C1-2,MEAT_SPECIAL_HANDLING-12-6-B1-1,INSPECTION-1;23;23;39;39;0;0;-16;-16
SAL FDC RGE MC PC8 C1 FRFRANCE;30605;1;IN-1,MEAT_SPECIAL_HANDLING-30-13-A1-2;7;56;9;72;0;0;-2;-16
GIGOT AGNEAU S/OS S/V NZ;820490;1;MEAT_SPECIAL_HANDLING-22-22-A1-2;93.05;93.05;108.36;108.36;0;0;-15.310000000000002;-15.310000000000002
CHOCO COUV EXCEL55%PIST SCH5KG;174189;1;MEAT_SPECIAL_HANDLING-6-36-B1-3,MEAT_SPECIAL_HANDLING-6-23-C1-3;31;31;46;46;0;0;-15;-15
MPRO BOBINE 2P 450F X6;892266;1;MEAT_SPECIAL_HANDLING-8-28-B1-1,MEAT_SPECIAL_HANDLING-8-28-B1-2,MEAT_SPECIAL_HANDLING-8-36-B1-2,MEAT_SPECIAL_HANDLING-6-35-B1-2,MEAT_SPECIAL_HANDLING-7-8-B1-2,MEAT_SPECIAL_HANDLING-8-16-C1-3,MEAT_SPECIAL_HANDLING-6-25-A1-1,MEAT_SPECIAL_HANDLING-8-10-C1-1,MEAT_SPECIAL_HANDLING-8-12-C1-3,MEAT_SPECIAL_HANDLING-6-5-B1-3,MEAT_SPECIAL_HANDLING-8-30-C1-3,MEAT_SPECIAL_HANDLING-6-22-C1-1,MEAT_SPECIAL_HANDLING-6-30-C1-2,MEAT_SPECIAL_HANDLING-7-8-C1-1,MEAT_SPECIAL_HANDLING-7-3-B1-1,MEAT_SPECIAL_HANDLING-6-36-C1-3;642;642;657;657;0;0;-15;-15
COTE ECHINE AOS PORC X16SAT MC;894249;1;MEAT_SPECIAL_HANDLING-26-5-A1-4,UNLOADING-1;5.96;5.96;20;20;0;0;-14.04;-14.04
VINAIGRE VIN 6PC 75 CL;835084;1;MEAT_SPECIAL_HANDLING-10-36-A3-4,MEAT_SPECIAL_HANDLING-10-36-C1-2;379;379;393;393;0;0;-14;-14
PLT LR PAC JNE NU 1.6/1.8 MC;866994;1;UNLOADING-1;-0.07;-0.07;13.85;13.85;0;0;-13.92;-13.92
SAL MACHE GRANDE FEUILLE 1K C1 FRFRANCE;89473;1;MEAT_SPECIAL_HANDLING-31-12-A1-3;2;2;15;15;0;0;-13;-13
CASSONADE 100% PURE CANNE 5KG;840896;1;MEAT_SPECIAL_HANDLING-6-29-A1-1;46;46;59;59;0;0;-13;-13
TRAVERS PORC X2 IGPSO S/V;179305;1;MEAT_SPECIAL_HANDLING-26-6-A1-4,INSPECTION-3;21.6;21.6;34.56;34.56;0;0;-12.96;-12.96
MPRO 50 BOL SALADE KRAFT 750ML;895588;1;MEAT_SPECIAL_HANDLING-12-8-A1-3,MEAT_SPECIAL_HANDLING-12-9-C1-3;29;29;41;41;0;0;-12;-12
ARO SEL FIN SAC 1KG;835217;1;MEAT_SPECIAL_HANDLING-12-5-C1-1;45;540;46;552;0;0;-1;-12
RIOBA NECTAR POIRE 25CL VP;894322;1;MEAT_SPECIAL_HANDLING-2-20-A1-2;6;72;7;84;0;0;-1;-12
HOVE ILIADA PDO KALAMATA 1L;223885;1;MEAT_SPECIAL_HANDLING-10-11-A4-5;12;12;24;24;0;0;-12;-12
CHARITEA THE VERT BIO* 33CL VP;868175;1;MEAT_SPECIAL_HANDLING-5-23-A1-5;8;96;9;108;0;0;-1;-12
TRIPLE KARMELIET 8.4D 33CL;396434;1;MEAT_SPECIAL_HANDLING-4-9-A1-3;5;60;6;72;0;0;-1;-12
AILE PLT BLC HAL LOURD 5KG FR;177469;1;IN-1,MEAT_SPECIAL_HANDLING-20-17-A1-1;18;18;30;30;0;0;-12;-12
