Article Name,Article number (MGB),Var,Subsys,Locations,MMS Stock,MMS Stock (1 piece),WMS Stock,WMS Stock (1 piece),Pick qty,Pick qty (1 piece),Difference,Difference (1 piece)
LEMONAID GINGER BIO* 33CL VP,871934,1,280862,MEAT_SPECIAL_HANDLING-5-23-A4-5,5,60,4,48,0,0,1,12
GRANITE 1L PASSION MONTAIGU,633365,1,null,null,12,12,0,0,0,0,12,12
ORATOIRE CHAS.SPL MOUL 75CL,891411,1,null,null,12,12,0,0,0,0,12,12
EVIAN 1L  VC,397583,1,202530,"MEAT_SPECIAL_HANDLING-1-33-A1-2,MEAT_SPECIAL_HANDLING-1-35-B1-1,MEAT_SPECIAL_HANDLING-1-27-A1-2,MEAT_SPECIAL_HANDLING-1-25-B1-1,MEAT_SPECIAL_HANDLING-1-2-B1-1,MEAT_SPECIAL_HANDLING-1-27-B1-1,MEAT_SPECIAL_HANDLING-1-2-B1-3",275,3300,274,3288,0,0,1,12
FUZETEA PECHE PET 40CL,813612,1,220039,"INSPECTION-3,MEAT_SPECIAL_HANDLING-3-33-A1-2",112,1344,111,1332,0,0,1,12
MPRO LIQ VAISS MAIN BACT 5L,388044,1,193010,MEAT_SPECIAL_HANDLING-5-5-A1-3,21,21,9,9,0,0,12,12
LEFFE BLONDE 6.6 BLE 33CL,397607,1,202549,MEAT_SPECIAL_HANDLING-3-3-A1-3,13,156,12,144,0,0,1,12
MPRO DEGRAISS SURF ALIM 750ML,827263,1,232817,MEAT_SPECIAL_HANDLING-2-2-A1-1,46,46,34,34,0,0,12,12
PANNA COTTA 800G METRO CHEF,321547,1,59590,"MEAT_SPECIAL_HANDLING-11-9-B1-1,MEAT_SPECIAL_HANDLING-10-14-A1-1",29,29,17,17,0,0,12,12
MC MAYONNAISE  TUBE  850G,397948,1,204768,MEAT_SPECIAL_HANDLING-8-2-A3-6,46,46,31,31,3,3,12,12
CONFITUR FRAISE 1KG ARO,839589,1,293899,MEAT_SPECIAL_HANDLING-10-35-A3-3,50,50,38,38,0,0,12,12
LAIT UHT ENTIER 1L PPX BK (P,840747,1,247766,MEAT_SPECIAL_HANDLING-20-3-A1-3,120,720,118,708,0,0,2,12
MPRO 250 SERV 2P CREME 40X40,388089,1,193028,MEAT_SPECIAL_HANDLING-4-30-A1-1,26,26,12,12,2,2,12,12
MPRO 50 BTE MENU PULP,837329,1,244089,"MEAT_SPECIAL_HANDLING-12-9-A2-5,MEAT_SPECIAL_HANDLING-12-14-A4-2",27,27,15,15,0,0,12,12
TABL. CHOCO BLANC ROCH. 100GX5,332618,1,40550,MEAT_SPECIAL_HANDLING-11-29-A4-2,19,19,7,7,0,0,12,12
MPRO DEBOUCHEUR SOUDE 1L,815966,1,221555,MEAT_SPECIAL_HANDLING-2-2-A2-3,24,24,12,12,0,0,12,12
CDP RSE RAMATERRA 75CL MIL,855174,1,null,null,2,12,0,0,0,0,2,12
PULPE AVOCAT 1KG MC,896625,1,308998,"DEEP_FROZEN-43-14-A3-2,DEEP_FROZEN-43-2-B1-3,DEEP_FROZEN-43-3-A3-5",141,141,126,126,3,3,12,12
LAIT CONC SUCRE TUBE 300G REG,679951,1,73435,MEAT_SPECIAL_HANDLING-10-32-A2-4,28,28,15,15,0,0,13,13
9854.VITTEL    20X50STUB PLEIN,226781,1,null,null,13,13,0,0,0,0,13,13
MAGRET CND IGP S/V *6 MDD,678882,1,64455,MEAT_SPECIAL_HANDLING-26-2-A3-6,56.14,56.14,34.07,34.07,8.44,8.44,13.630000000000003,13.630000000000003
50 SERV KANG DRYCOT IVOI 33X40,858421,1,265777,MEAT_SPECIAL_HANDLING-6-9-A3-3,42,42,28,28,0,0,14,14
MIEL DE FLEURS SEAU 5KG,258060,1,61062,MEAT_SPECIAL_HANDLING-6-9-A3-2,18,18,4,4,0,0,14,14
MOZZA RAPE SAC 2.5KG CANTADORA,650322,1,71252,MEAT_SPECIAL_HANDLING-23-10-A1-3,101,101,87,87,0,0,14,14
MENTHE BOTTE  MC 30 GR X5,31246,1,31246,"MEAT_SPECIAL_HANDLING-33-8-A3-2,MEAT_SPECIAL_HANDLING-30-13-A1-3",52,260,48,240,1,5,3,15
EAU DEMINERALISEE OXENA 5L,868137,1,277334,MEAT_SPECIAL_HANDLING-6-6-A2-3,18,18,3,3,0,0,15,15
FUZETEA 25CL CONSIGNE PLEINE,881810,1,null,null,15,15,0,0,0,0,15,15
FRAMBOISE 125G BQ12 C1 PTPORTUGAL,91397,1,91397,MEAT_SPECIAL_HANDLING-33-8-A2-1,82,82,63,63,3,3,16,16
