Article Name,Article number (MGB),Var,Subsys,Locations,MMS Stock,MMS Stock (1 piece),WMS Stock,WMS Stock (1 piece),Pick qty,Pick qty (1 piece),Difference,Difference (1 piece)
COCACOLA BOITE SLIM 33CL,396651,1,202949,"MEAT_SPECIAL_HANDLING-2-22-A1-1,MEAT_SPECIAL_HANDLING-2-36-C1-2,MEAT_SPECIAL_HANDLING-1-11-C1-2,MEAT_SPECIAL_HANDLING-2-33-A1-3,MEAT_SPECIAL_HANDLING-1-9-B1-2,MEAT_SPECIAL_HANDLING-2-30-A1-1",613,14712,617,14808,0,0,-4,-96
VOLVIC JUICY EXO 50CL,396345,1,264978,"MEAT_SPECIAL_HANDLING-4-22-A1-2,MEAT_SPECIAL_HANDLING-3-10-B1-1",28,336,36,432,0,0,-8,-96
DADA MANGUE BTE 33CL,883084,1,293765,"MEAT_SPECIAL_HANDLING-4-9-A1-2,MEAT_SPECIAL_HANDLING-4-9-A4-3",1,24,5,120,0,0,-4,-96
CABECOU PERIGORD 35GX15,829701,1,236216,MEAT_SPECIAL_HANDLING-21-19-A1-4,23,345,29,435,0,0,-6,-90
LAY'S NATURE 145G,397343,1,202357,MEAT_SPECIAL_HANDLING-7-10-A1-2,1,20,5,100,0,0,-4,-80
CIRIO TOMATE CONCASSEE BTE 3/1,663993,1,61914,"MEAT_SPECIAL_HANDLING-7-19-A1-1,MEAT_SPECIAL_HANDLING-11-25-A4-2",-40,-40,40,40,0,0,-80,-80
CRISTAL SAC 20KG ARO,825154,1,231733,"MEAT_SPECIAL_HANDLING-7-1-C1-2,MEAT_SPECIAL_HANDLING-8-6-C1-3,MEAT_SPECIAL_HANDLING-6-18-B1-3,MEAT_SPECIAL_HANDLING-8-6-B1-3,MEAT_SPECIAL_HANDLING-6-18-C1-3,MEAT_SPECIAL_HANDLING-6-9-C1-3,MEAT_SPECIAL_HANDLING-6-18-C1-2,MEAT_SPECIAL_HANDLING-7-1-B1-2,MEAT_SPECIAL_HANDLING-6-18-C1-1,MEAT_SPECIAL_HANDLING-6-15-C1-1,MEAT_SPECIAL_HANDLING-6-28-A1-3",195,195,269,269,0,0,-74,-74
COCA SANS SUCRES 33CL,396657,1,202953,"MEAT_SPECIAL_HANDLING-5-21-C1-3,MEAT_SPECIAL_HANDLING-2-19-A1-1,MEAT_SPECIAL_HANDLING-2-34-A1-2,MEAT_SPECIAL_HANDLING-2-29-B1-2",406,9744,409,9816,0,0,-3,-72
PERRIER BOITE SLIM 33CL,396417,1,202736,"MEAT_SPECIAL_HANDLING-2-1-A1-2,MEAT_SPECIAL_HANDLING-3-9-C1-1,MEAT_SPECIAL_HANDLING-2-20-A1-1",83,1992,86,2064,0,0,-3,-72
300 ETIQ DLC 70X45MM,181379,1,184499,"MEAT_SPECIAL_HANDLING-12-36-A1-1,MEAT_SPECIAL_HANDLING-12-36-B1-1",185,185,248,248,0,0,-63,-63
FROM.FRAIS CHEVRE 200G ROCHAMB,671439,1,13592,MEAT_SPECIAL_HANDLING-20-13-A1-4,345,345,404,404,0,0,-59,-59
MC RIZ LG GRAIN ETUVE 5KG,891870,1,303587,"MEAT_SPECIAL_HANDLING-6-33-C1-1,MEAT_SPECIAL_HANDLING-9-2-C1-3,MEAT_SPECIAL_HANDLING-9-14-C1-1,MEAT_SPECIAL_HANDLING-9-6-A4-3",46,46,101,101,0,0,-55,-55
"ST NECT LAIT AOP 1,5KGENV CLOU",829245,1,236466,MEAT_SPECIAL_HANDLING-22-21-A1-2,65.42,65.42,120.25,120.25,0,0,-54.83,-54.83
CH FEUILLATE TRADITION BRT 75C,875882,1,285531,"MEAT_SPECIAL_HANDLING-8-35-C1-1,MEAT_SPECIAL_HANDLING-8-35-A3-5",0,0,9,54,0,0,-9,-54
PIMENT XTRA PAYBASQ SUD 1.8KG,233647,1,36649,"MEAT_SPECIAL_HANDLING-7-30-B1-1,MEAT_SPECIAL_HANDLING-8-30-B1-2,MEAT_SPECIAL_HANDLING-7-31-A1-5,MEAT_SPECIAL_HANDLING-8-32-B1-2",282,282,336,336,0,0,-54,-54
*TAHINA CREME SESAME POT 454G,162008,1,163202,"MEAT_SPECIAL_HANDLING-8-2-A3-4,MEAT_SPECIAL_HANDLING-8-4-B1-1",25,25,78,78,0,0,-53,-53
MC CERNEAUX NOIX INV ARL 1KG,889202,1,300454,"MEAT_SPECIAL_HANDLING-8-30-B1-3,MEAT_SPECIAL_HANDLING-7-31-A2-4",80,80,130,130,0,0,-50,-50
*MC FARINE SARASIN 1KG,835154,1,242175,MEAT_SPECIAL_HANDLING-10-21-A1-1,2,20,7,70,0,0,-5,-50
COCACOLA CHERRY SLIM 33CL,396660,1,202955,"MEAT_SPECIAL_HANDLING-1-31-B1-2,MEAT_SPECIAL_HANDLING-1-18-B1-3,MEAT_SPECIAL_HANDLING-1-20-B1-1,MEAT_SPECIAL_HANDLING-1-20-A1-3,MEAT_SPECIAL_HANDLING-2-33-B1-1",450,10800,452,10848,0,0,-2,-48
MONSTER ENERGY BOITE 50CL,399068,1,204694,"MEAT_SPECIAL_HANDLING-2-1-B1-1,MEAT_SPECIAL_HANDLING-3-4-A1-3",32,768,34,816,0,0,-2,-48
OASIS POM/CASS/FRAM SLIM 33CL,861096,1,268769,"MEAT_SPECIAL_HANDLING-2-17-A1-3,MEAT_SPECIAL_HANDLING-3-9-C1-3",70,1680,72,1728,0,0,-2,-48
FRAIS MINIMUM DE COMMANDE,835296,1,null,null,-48,-48,0,0,0,0,-48,-48
MINUTE MAID ORANGE SLIM 33CL,872493,1,281761,"MEAT_SPECIAL_HANDLING-3-3-A1-1,MEAT_SPECIAL_HANDLING-4-13-B1-3",70,1680,72,1728,0,0,-2,-48
MPRO 500 PAILLE KRAFT D6 20CM,888219,1,299096,"MEAT_SPECIAL_HANDLING-7-23-A1-1,MEAT_SPECIAL_HANDLING-6-26-B1-3,MEAT_SPECIAL_HANDLING-6-11-C1-3,MEAT_SPECIAL_HANDLING-6-9-A2-2",148,148,194,194,0,0,-46,-46
POMMES SAUTEES 2.5KG MC,605985,1,73511,DEEP_FROZEN-42-8-A2-7,-31,-31,9,9,0,0,-40,-40
HUILE CUISINOR BIDON 20L,335272,1,66684,"MEAT_SPECIAL_HANDLING-6-19-C1-1,MEAT_SPECIAL_HANDLING-6-26-C1-1,MEAT_SPECIAL_HANDLING-6-20-B1-1,MEAT_SPECIAL_HANDLING-6-23-A1-2",76,76,114,114,0,0,-38,-38
MERGUEZ BF/MTN HAL2.3KGENV SAT,820089,1,226901,MEAT_SPECIAL_HANDLING-21-16-A1-2,-11.13,-11.13,26.23,26.23,0,0,-37.36,-37.36
"OIGNONS EN DES 2,5KG METROCHEF",854332,1,261599,DEEP_FROZEN-40-1-A1-4,-14,-14,22,22,0,0,-36,-36
"LIPTON PECHE 1,25L PET",887389,1,298429,"INSPECTION-1,MEAT_SPECIAL_HANDLING-3-12-C1-3,MEAT_SPECIAL_HANDLING-3-27-A1-1",55,330,61,366,0,0,-6,-36
MX A ROMET 75CL BLC MET TRAD,857110,1,269269,"MEAT_SPECIAL_HANDLING-8-33-A1-2,MEAT_SPECIAL_HANDLING-9-27-B1-1",30,180,36,216,0,0,-6,-36
CHAMP MUMM 75CL ROSE,866570,1,275657,MEAT_SPECIAL_HANDLING-8-25-A1-2,0,0,6,36,0,0,-6,-36
ST CHINIAN RSE MIL EXCEL.STL75,807203,1,212966,MEAT_SPECIAL_HANDLING-9-27-A1-3,0,0,6,36,0,0,-6,-36
"BREWDOG PUNK 0,49D 33CL VP",857830,1,264969,MEAT_SPECIAL_HANDLING-4-11-A1-3,3,36,6,72,0,0,-3,-36
CHINON RGE GRANG 75C AOC,807648,1,214054,"MEAT_SPECIAL_HANDLING-8-27-B1-1,MEAT_SPECIAL_HANDLING-8-29-A3-1",12,72,18,108,0,0,-6,-36
MPRO NETT MU JAVEL 750ML,812927,1,217556,"MEAT_SPECIAL_HANDLING-2-6-A1-1,MEAT_SPECIAL_HANDLING-2-2-A2-5",96,96,132,132,0,0,-36,-36
CREAM CHEESE 1.5KG MC,876926,1,286663,"MEAT_SPECIAL_HANDLING-20-9-B1-4,MEAT_SPECIAL_HANDLING-20-9-A1-2,MEAT_SPECIAL_HANDLING-22-19-B1-1",371,371,406,406,0,0,-35,-35
SAUCE CHOCOLAT  1KG SWEETIES,682348,1,100188,"MEAT_SPECIAL_HANDLING-8-4-A2-4,INSPECTION-3",-6,-6,29,29,0,0,-35,-35
SAL FDC RGE MC PC8 C1 FRFRANCE,30605,1,30605,"MEAT_SPECIAL_HANDLING-32-8-B1-2,IN-1,MEAT_SPECIAL_HANDLING-30-13-A1-2",9,72,13,104,0,0,-4,-32
SAUTE CANARD S/OS A/P SV 2.5KG,148957,1,149733,MEAT_SPECIAL_HANDLING-26-1-A3-1,-6.38,-6.38,25.28,25.28,0,0,-31.66,-31.66
"MC SPECULOOS CONCASSE 1,1KG",812932,1,217728,"MEAT_SPECIAL_HANDLING-8-2-B1-3,MEAT_SPECIAL_HANDLING-7-2-A1-2",147,147,178,178,0,0,-31,-31
CHEDDAR RGE MID 3M BLC3.3KGENV,144345,1,144821,MEAT_SPECIAL_HANDLING-23-6-A1-2,63.23,63.23,93.25,93.25,0,0,-30.020000000000003,-30.020000000000003
TROPICO ORIGINAL 6X20CL MINI,893458,1,305347,MEAT_SPECIAL_HANDLING-2-23-A1-3,25,125,31,155,0,0,-6,-30
ARO ABC ORANGE BRICK 1L,839581,1,null,null,-5,-30,0,0,0,0,-5,-30
MIEL FLEUR SQUEEZ 500G LDM,840427,1,247526,MEAT_SPECIAL_HANDLING-7-5-A1-2,338,338,365,365,0,0,-27,-27
EMMENTAL TR 15*5 1KG ARO,896766,1,309147,MEAT_SPECIAL_HANDLING-22-3-A1-1,94,94,120,120,0,0,-26,-26
COTEAUX VAROIS ROSE 75CL,809144,1,214501,"MEAT_SPECIAL_HANDLING-8-1-B1-1,MEAT_SPECIAL_HANDLING-8-29-A4-2,MEAT_SPECIAL_HANDLING-9-23-A1-5,MEAT_SPECIAL_HANDLING-8-5-C1-2",39,234,43,258,0,0,-4,-24
FANTA CITRON BTE SLIM 33CL,396680,1,203145,"MEAT_SPECIAL_HANDLING-1-20-C1-3,MEAT_SPECIAL_HANDLING-3-1-A1-2,MEAT_SPECIAL_HANDLING-1-22-C1-2",42,1008,43,1032,0,0,-1,-24
MOSCATO ASTI CASARITO BLC 75CL,392719,1,null,null,-24,-24,0,0,0,0,-24,-24
RIOBA ABC ANANAS TO 25CL,396960,1,201669,MEAT_SPECIAL_HANDLING-5-29-A3-2,2,48,3,72,0,0,-1,-24
POUILLY FUME MIL BLANCH 75CL,810235,1,215658,MEAT_SPECIAL_HANDLING-9-29-A1-3,0,0,24,24,0,0,-24,-24
CHATEAU CHALON JAUNE MDV 62CL,833784,1,240210,"MEAT_SPECIAL_HANDLING-8-35-A3-1,MEAT_SPECIAL_HANDLING-9-29-A3-1",0,0,4,24,0,0,-4,-24
CAPRE SURFINE 105ML VITALYS,839590,1,247037,"MEAT_SPECIAL_HANDLING-10-1-A1-5,MEAT_SPECIAL_HANDLING-6-13-A3-4",4,24,8,48,0,0,-4,-24
MINUTE MAID POMME SLIM 33CL,872486,1,281758,"MEAT_SPECIAL_HANDLING-3-3-A1-2,MEAT_SPECIAL_HANDLING-1-20-C1-2",47,1128,48,1152,0,0,-1,-24
HAWAI TROPICAL BOITE 33CL,397230,1,null,null,-1,-24,0,0,0,0,-1,-24
LIPTON PASTEQ MENT SLEEK 33CL,859425,1,267140,"MEAT_SPECIAL_HANDLING-1-18-C1-2,MEAT_SPECIAL_HANDLING-1-12-C1-3,MEAT_SPECIAL_HANDLING-1-20-A1-2",74,1776,75,1800,0,0,-1,-24
ROCHE DES ECRINS PET 50CL,397104,1,202141,"MEAT_SPECIAL_HANDLING-3-10-C1-1,MEAT_SPECIAL_HANDLING-3-11-B1-3,MEAT_SPECIAL_HANDLING-4-6-C1-2,MEAT_SPECIAL_HANDLING-3-31-A1-2",74,1776,75,1800,0,0,-1,-24
SCHWEPPES AGRUM SLIM 33CL,396252,1,201564,"MEAT_SPECIAL_HANDLING-3-5-A1-1,MEAT_SPECIAL_HANDLING-2-13-B1-1",115,2760,116,2784,0,0,-1,-24
TROPICO L'ORIG BTE 33 CL SLIM,847843,1,254862,MEAT_SPECIAL_HANDLING-2-29-A1-2,33,792,34,816,0,0,-1,-24
VOLVIC JUICY FRAISE 50CL,397663,1,264977,"MEAT_SPECIAL_HANDLING-3-15-A1-3,MEAT_SPECIAL_HANDLING-3-15-B1-2",64,768,66,792,0,0,-2,-24
TROPICO TROPICAL BTE 33CL SLIM,847847,1,254864,"MEAT_SPECIAL_HANDLING-4-3-B1-2,MEAT_SPECIAL_HANDLING-2-26-A1-1",29,696,30,720,0,0,-1,-24
